cliente_codigo,cliente_nome,cliente_apelido,cliente_rg_ie,cliente_cpf_cnpj,cliente_tipo_pessoa,cliente_data_nascimento,cliente_end_cidade,cliente_end_cep,cliente_end_rua,cliente_end_numero,cliente_end_bairro,cliente_end_complemento,cliente_end_latitude,cliente_end_longitude,cliente_telefones,ponto_emails,cliente_data_cadastro,cliente_parceiro,contrato_carteira,cliente_data_adesao,cliente_data_recisao,contrato_fidelidade,contrato_valor_adesao,contrato_valor_rescisão,contrato_valor_mensal,contrato_dia_vencimento,contrato_observacoes,contrato_faturavel,contrato_tipo_faturamento,contrato_nfe2x_tipo_lancamento,contrato_end_cidade,contrato_end_cep,contrato_end_rua,contrato_end_numero,contrato_end_bairro,contrato_end_complemento,contrato_end_latitude,contrato_end_longitude,ponto_plano,ponto_nome,ponto_ppp_usuario,ponto_end_cidade,ponto_end_cep,ponto_end_rua,ponto_end_numero,ponto_end_bairro,ponto_end_complemento,ponto_end_latitude,ponto_end_longitude,ponto_data_ativacao,ponto_mac,ponto_tecnologia,ponto_serial
1,Jeremy Freeman,Jeremy,711.11323-18,00.099.999/9998-68,PJ,18/05/1999,Pato Branco,85501000,Feira de Barros,3,Sambugaro,Loja,-26.236384797536022,-52.67546288095441,(46) 99999-99999,jeremy.freeman@emailexemplo.com,21/06/2023,n,Boleto Próprio,26/06/2023,,,189.9,700,299.9,24,,s,auto,auto,Pato Branco,85501000.0,Feira de Barros,3.0,Sambugaro,Loja,-26.236384797536022,-52.67546288095441,plano_300mb,Loja,jeremy.freeman@meuprovedor.com.br,Pato Branco,85660000,Ladeira de Sá,685,Sudoeste,APTO,-26.255574792956395,-52.674137473842094,01/07/2023,40:2f:27:1e:62:89,FTTH,FTTH323M37A2
2,Cathy Young,Cathy,99999998-9,999.999.998-08,PF,08/05/1960,Francisco Beltrão,85601000,Praia de Pimenta,19,Bairro Água Branca,Casa,-26.10680604341395,-53.05142693941115,(46) 99999-99998,cathy.young@emailexemplo.com,06/01/2023,n,Santander,15/01/2023,,,349.9,500,200.0,19,Cliente exige segurança online forte.,s,auto,auto,,,,,,,,,plano_150mb,Casa,cathy.young@meuprovedor.com.br,Francisco Beltrão,85601000,Praia de Pimenta,19,Bairro Água Branca,Casa,-26.10672864347774,-53.04844589250628,19/01/2023,36:93:32:f6:f8:10,RADIO,
3,Jonathan Meyers,Jonathan,99999997-7,999.999.997-27,PF,19/07/1988,Francisco Beltrão,85601000,Distrito Pedro Miguel Peixoto,4,Comunidade Secção Jacaré,Casa,-26.06943572045,-53.10199894204468,(46) 99999-99997,jonathan.meyers@emailexemplo.com,13/02/2023,n,Boleto Próprio,21/02/2023,,,349.9,500,200.0,18,,s,auto,auto,,,,,,,,,plano_150mb,Casa,jonathan.meyers@meuprovedor.com.br,Francisco Beltrão,85601000,Distrito Pedro Miguel Peixoto,4,Comunidade Secção Jacaré,Casa,-26.06495092402133,-53.101205954753006,25/02/2023,12:16:0c:9a:8c:d8,RADIO,
4,Katie Williams,Katie,99999996-5,999.999.996-46,PF,26/11/1980,Francisco Beltrão,85601000,Chácara Câmara,8,Bairro Pinheirão,Casa,-26.08747786487859,-53.06207980402466,(46) 99999-99996,katie.williams@emailexemplo.com,10/05/2023,n,GalaxPay,13/05/2023,,,349.9,500,200.0,14,,s,auto,auto,,,,,,,,,plano_150mb,Casa,katie.williams@meuprovedor.com.br,Francisco Beltrão,85601000,Chácara Câmara,8,Bairro Pinheirão,Casa,-26.09285760243239,-53.068085028578295,15/05/2023,3c:30:aa:6a:b8:8d,FTTH,FTTH071M77M7
5,Douglas Harris,Douglas,99999995-3,999.999.995-65,PF,06/03/1995,Pato Branco,85501000,Vale Francisco Almeida,13,Jardim Floresta,APTO,-26.22175023032074,-52.68033675325244,(46) 99999-99995,douglas.harris@emailexemplo.com,01/03/2023,n,GalaxPay,07/03/2023,,,189.9,700,299.9,13,,s,auto,auto,,,,,,,,,plano_300mb,APTO,douglas.harris@meuprovedor.com.br,Pato Branco,85660000,Rua de Rezende,87,Industrial,Casa,-26.23782877824096,-52.66574508217419,09/03/2023,8a:c3:49:d9:b9:67,FTTH,FTTH960K92X2
6,Timothy Lindsey,Timothy,036.22621-86,00.099.999/9994-34,PJ,17/04/1969,Pato Branco,85501000,Pátio João Pedro Ribeiro,40,Anchieta,Loja,-26.22054765963449,-52.68311732001949,(46) 99999-99994,timothy.lindsey@emailexemplo.com,01/05/2023,n,EFÍ,03/05/2023,,,189.9,700,299.9,18,,s,auto,auto,,,,,,,,,plano_300mb,Loja,timothy.lindsey@meuprovedor.com.br,Pato Branco,85501000,Pátio João Pedro Ribeiro,40,Anchieta,Loja,-26.22798675182481,-52.68706217449144,06/05/2023,94:07:09:6b:dc:21,FTTH,FTTH040W69F7
7,Gary Cuevas,Gary,99999994-1,999.999.994-84,PF,10/12/1957,Francisco Beltrão,85601000,Distrito de Albuquerque,733,Bairro Cantelmo,APTO,-26.04607825958762,-53.07638934705656,(46) 99999-99993,gary.cuevas@emailexemplo.com,06/05/2023,n,Santander,10/05/2023,,,349.9,500,200.0,12,Cliente pensa em adicionar TV ou telefone depois.,s,auto,auto,,,,,,,,,plano_150mb,APTO,gary.cuevas@meuprovedor.com.br,Francisco Beltrão,85601000,Distrito de Albuquerque,733,Bairro Cantelmo,APTO,-26.044260117832145,-53.07667704200861,17/05/2023,f0:fe:4a:cc:e3:4d,FTTH,FTTH301O02Y7
8,Scott Nunez,Scott,99999992-8,999.999.993-01,PF,22/08/1980,Dois Vizinhos,85660000,Quadra Heitor Pacheco,80,Sagrada Família,Casa,-25.760108735865845,-53.065360976642125,(46) 99999-99992,scott.nunez@emailexemplo.com,02/03/2023,n,Boleto Próprio,04/03/2023,,,300.0,400,150.0,9,Cliente quer Wi-Fi potente em toda casa.,s,auto,auto,,,,,,,,,plano_100mb,Casa,scott.nunez@meuprovedor.com.br,Dois Vizinhos,85660000,Quadra Heitor Pacheco,80,Sagrada Família,Casa,-25.76362505586365,-53.06654317820048,11/03/2023,6e:92:a7:62:fe:58,FTTH,FTTH461O77Q9
9,Matthew Harris,Matthew,99999991-6,999.999.992-12,PF,07/01/1972,Dois Vizinhos,85660000,Conjunto Cunha,51,Centro,APTO,-25.75117226969236,-53.05187746224366,(46) 99999-99991,matthew.harris@emailexemplo.com,13/01/2023,n,EFÍ,17/01/2023,,7.0,300.0,400,150.0,13,,n,manual,manual,,,,,,,,,plano_100mb,APTO,matthew.harris@meuprovedor.com.br,Dois Vizinhos,85660000,Conjunto Cunha,51,Centro,APTO,-25.74695386219351,-53.0539127188059,24/01/2023,70:c3:2b:cb:84:f1,FTTH,FTTH233B70K5
10,Timothy Lee,Timothy,664.93716-69,00.099.999/9991-91,PJ,14/06/1963,Pato Branco,85501000,Praia Carvalho,7,São Cristóvão,Loja,-26.26069060302628,-52.68936353455869,(46) 99999-99990,timothy.lee@emailexemplo.com,07/01/2023,n,Santander,13/01/2023,,,189.9,700,299.9,21,Cliente quer Wi-Fi potente em toda casa.,s,auto,auto,,,,,,,,,plano_300mb,Loja,timothy.lee@meuprovedor.com.br,Pato Branco,85501000,Praia Carvalho,7,São Cristóvão,Loja,-26.25784093879524,-52.693589593629376,16/01/2023,58:80:fb:88:b1:35,FTTH,FTTH092S26X6
11,Jonathan Montgomery,Jonathan,99999990-4,999.999.991-31,PF,24/12/1961,Dois Vizinhos,85660000,Trevo Casa Grande,40,Centro,APTO,-25.756583710476225,-53.04303721531283,(46) 99999-99989,jonathan.montgomery@emailexemplo.com,07/05/2023,n,Boleto Próprio,15/05/2023,,,300.0,400,150.0,12,,s,auto,auto,,,,,,,,,plano_100mb,APTO,jonathan.montgomery@meuprovedor.com.br,Dois Vizinhos,85660000,Estrada Oliver da Conceição,97,Jardim da Colina,APTO,-25.73243594151672,-53.06863973511775,21/05/2023,ae:73:13:8c:51:a5,FTTH,FTTH838U55O4
