cliente_codigo,cliente_nome,cliente_apelido,cliente_rg_ie,cliente_cpf_cnpj,cliente_tipo_pessoa,cliente_data_nascimento,cliente_end_cidade,cliente_end_cep,cliente_end_rua,cliente_end_numero,cliente_end_bairro,cliente_end_complemento,cliente_end_latitude,cliente_end_longitude,cliente_telefones,ponto_emails,cliente_data_cadastro,cliente_parceiro,contrato_carteira,cliente_data_adesao,cliente_data_recisao,contrato_fidelidade,contrato_valor_adesao,contrato_valor_rescisão,contrato_valor_mensal,contrato_dia_vencimento,contrato_observacoes,contrato_faturavel,contrato_tipo_faturamento,contrato_nfe2x_tipo_lancamento,contrato_end_cidade,contrato_end_cep,contrato_end_rua,contrato_end_numero,contrato_end_bairro,contrato_end_complemento,contrato_end_latitude,contrato_end_longitude,ponto_plano,ponto_nome,ponto_ppp_usuario,ponto_end_cidade,ponto_end_cep,ponto_end_rua,ponto_end_numero,ponto_end_bairro,ponto_end_complemento,ponto_end_latitude,ponto_end_longitude,ponto_data_ativacao,ponto_mac,ponto_tecnologia,ponto_serial
1,Jeremy Freeman,Jeremy,711.11323-18,00.099.999/9998-68,PJ,18/05/1999,Pato Branco,85501000,Feira de Barros,3,Sambugaro,Loja,-26.236384797536026,-52.67546288095441,(46) 99999-99999,jeremy.freeman@emailexemplo.com,21/06/2023,n,Boleto Próprio,26/06/2023,,,189.90,700,299.90,24,,s,auto,auto,Pato Branco,85501000,Feira de Barros,3,Sambugaro,Loja,-26.236384797536026,-52.67546288095441,plano_300mb,Loja,jeremy.freeman@meuprovedor.com.br,Pato Branco,85660000,Ladeira de Sá,685,Centro Sul,APTO,-26.22592982459764,-52.693161268920484,01/07/2023,40:2f:27:1e:62:89,FTTH,FTTH553H33E0
2,Cathy Young,Cathy,99999998-9,999.999.998-08,PF,08/05/1960,Francisco Beltrão,85601000,Praia de Pimenta,19,Bairro Água Branca,Casa,-26.07860597373553,-53.03558733401565,(46) 99999-99998,cathy.young@emailexemplo.com,06/01/2023,n,Santander,15/01/2023,,,349.90,500,200,19,Cliente exige segurança online forte.,s,auto,auto,,,,,,,,,plano_150mb,Casa,cathy.young@meuprovedor.com.br,Francisco Beltrão,85601000,Praia de Pimenta,19,Bairro Água Branca,Casa,-26.07860597373553,-53.03558733401565,19/01/2023,36:93:32:f6:f8:10,FTTH,FTTH685G12M0
3,Jonathan Meyers,Jonathan,99999997-7,999.999.997-27,PF,19/07/1988,Francisco Beltrão,85601000,Distrito Pedro Miguel Peixoto,4,Comunidade Secção Jacaré,Casa,-26.030504932637495,-53.06019662179744,(46) 99999-99997,jonathan.meyers@emailexemplo.com,13/02/2023,n,Boleto Próprio,21/02/2023,,,349.90,500,200,18,,s,auto,auto,,,,,,,,,plano_150mb,Casa,jonathan.meyers@meuprovedor.com.br,Francisco Beltrão,85601000,Distrito Pedro Miguel Peixoto,4,Comunidade Secção Jacaré,Casa,-26.030504932637495,-53.06019662179744,25/02/2023,12:16:0c:9a:8c:d8,RADIO,
4,Katie Williams,Katie,99999996-5,999.999.996-46,PF,26/11/1980,Francisco Beltrão,85601000,Chácara Câmara,8,Bairro Pinheirão,Casa,-26.087812958617224,-53.04682152034599,(46) 99999-99996,katie.williams@emailexemplo.com,10/05/2023,n,GalaxPay,13/05/2023,,,349.90,500,200,14,,s,auto,auto,,,,,,,,,plano_150mb,Casa,katie.williams@meuprovedor.com.br,Francisco Beltrão,85601000,Chácara Câmara,8,Bairro Pinheirão,Casa,-26.087812958617224,-53.04682152034599,15/05/2023,3c:30:aa:6a:b8:8d,FTTH,FTTH071M77M7
5,Douglas Harris,Douglas,99999995-3,999.999.995-65,PF,06/03/1995,Pato Branco,85501000,Vale Francisco Almeida,13,Jardim Floresta,APTO,-26.22175023032074,-52.68033675325244,(46) 99999-99995,douglas.harris@emailexemplo.com,01/03/2023,n,GalaxPay,07/03/2023,,,189.90,700,299.90,13,,s,auto,auto,,,,,,,,,plano_300mb,APTO,douglas.harris@meuprovedor.com.br,Pato Branco,85660000,Rua de Rezende,87,Esperança,Casa,-26.267497263067714,-52.69122063907352,09/03/2023,8a:c3:49:d9:b9:67,FTTH,FTTH820O51X2
6,Timothy Lindsey,Timothy,036.22621-86,00.099.999/9994-34,PJ,17/04/1969,Pato Branco,85501000,Pátio João Pedro Ribeiro,40,Anchieta,Loja,-26.23974788698156,-52.66943297933326,(46) 99999-99994,timothy.lindsey@emailexemplo.com,01/05/2023,n,EFÍ,03/05/2023,,,189.90,700,299.90,18,,s,auto,auto,,,,,,,,,plano_300mb,Loja,timothy.lindsey@meuprovedor.com.br,Pato Branco,85501000,Pátio João Pedro Ribeiro,40,Anchieta,Loja,-26.23974788698156,-52.66943297933326,06/05/2023,94:07:09:6b:dc:21,FTTH,FTTH779M07R6
7,Gary Cuevas,Gary,99999994-1,999.999.994-84,PF,10/12/1957,Francisco Beltrão,85601000,Distrito de Albuquerque,733,Bairro Cantelmo,APTO,-26.056383097363632,-53.03784672981337,(46) 99999-99993,gary.cuevas@emailexemplo.com,06/05/2023,n,Santander,10/05/2023,,,349.90,500,200,12,Cliente pensa em adicionar TV ou telefone depois.,s,auto,auto,,,,,,,,,plano_150mb,APTO,gary.cuevas@meuprovedor.com.br,Francisco Beltrão,85601000,Distrito de Albuquerque,733,Bairro Cantelmo,APTO,-26.056383097363632,-53.03784672981337,17/05/2023,f0:fe:4a:cc:e3:4d,RADIO,
8,Scott Nunez,Scott,99999992-8,999.999.993-01,PF,22/08/1980,Dois Vizinhos,85660000,Quadra Heitor Pacheco,80,Sagrada Família,Casa,-25.73594868617645,-53.03596795200173,(46) 99999-99992,scott.nunez@emailexemplo.com,02/03/2023,n,Boleto Próprio,04/03/2023,,,300,400,150,9,Cliente quer Wi-Fi potente em toda casa.,s,auto,auto,,,,,,,,,plano_100mb,Casa,scott.nunez@meuprovedor.com.br,Dois Vizinhos,85660000,Quadra Heitor Pacheco,80,Sagrada Família,Casa,-25.73594868617645,-53.03596795200173,11/03/2023,6e:92:a7:62:fe:58,FTTH,FTTH388Q30Z7
9,Matthew Harris,Matthew,99999991-6,999.999.992-12,PF,07/01/1972,Dois Vizinhos,85660000,Conjunto Cunha,51,Centro,APTO,-25.727487393154174,-53.048864986814976,(46) 99999-99991,matthew.harris@emailexemplo.com,13/01/2023,n,EFÍ,17/01/2023,,7,300,400,150,13,,n,manual,manual,,,,,,,,,plano_100mb,APTO,matthew.harris@meuprovedor.com.br,Dois Vizinhos,85660000,Conjunto Cunha,51,Centro,APTO,-25.727487393154174,-53.048864986814976,24/01/2023,70:c3:2b:cb:84:f1,RADIO,
10,Timothy Lee,Timothy,664.93716-69,00.099.999/9991-91,PJ,14/06/1963,Pato Branco,85501000,Praia Carvalho,7,São Cristóvão,Loja,-26.269239427369044,-52.683659116892144,(46) 99999-99990,timothy.lee@emailexemplo.com,07/01/2023,n,Santander,13/01/2023,,,189.90,700,299.90,21,Cliente quer Wi-Fi potente em toda casa.,s,auto,auto,,,,,,,,,plano_300mb,Loja,timothy.lee@meuprovedor.com.br,Pato Branco,85501000,Praia Carvalho,7,São Cristóvão,Loja,-26.269239427369044,-52.683659116892144,16/01/2023,58:80:fb:88:b1:35,FTTH,FTTH236J19M9
