cliente_codigo,cliente_nome,cliente_apelido,cliente_rg_ie,cliente_cpf_cnpj,cliente_tipo_pessoa,cliente_data_nascimento,cliente_end_cidade,cliente_end_cep,cliente_end_rua,cliente_end_numero,cliente_end_bairro,cliente_end_complemento,cliente_end_latitude,cliente_end_longitude,cliente_telefones,ponto_emails,cliente_data_cadastro,cliente_parceiro,contrato_codigo,contrato_ativo,contrato_carteira,contrato_data_adesao,contrato_data_rescisao,contrato_fidelidade,contrato_valor_adesao,contrato_valor_rescisao,contrato_valor_mensal,contrato_dia_vencimento,contrato_observacoes,contrato_faturavel,contrato_tipo_faturamento,contrato_nfe2x_tipo_lancamento,contrato_nfe2x_document_fiscal,contrato_end_cidade,contrato_end_cep,contrato_end_rua,contrato_end_numero,contrato_end_bairro,contrato_end_complemento,contrato_end_latitude,contrato_end_longitude,ponto_codigo,ponto_plano,ponto_servicos,ponto_ativo,ponto_nome,ponto_loja,ponto_ppp_usuario,ponto_end_cidade,ponto_end_cep,ponto_end_bairro,ponto_end_rua,ponto_end_numero,ponto_end_complemento,ponto_end_latitude,ponto_end_longitude,ponto_data_ativacao,ponto_tipo_acesso,ponto_ipv4_wan,ponto_ipv6_wan,ponto_mac,ponto_tecnologia,ponto_observacoes,ponto_nas,ponto_serial,ponto_cto,ponto_spliter_nome,ponto_spliter_posicao
"527","DAVID SMITH","","***426","***.***.493-80","PF","03/09/1967","DOIS VIZINHOS","85660000","TRAVESSA SAMPAIO","568","SANTO ANTONIO","CASA","-25.774041288429608","-53.057415607372256","(99)99999-9473","david.smith@emailexemplo.com","02/03/2023","n","527","s","BOLETO PRÓPRIO","05/03/2023","","0","300","400","150","17","","s","manual","auto","","","","","","","","","","527","plano_100mb","","s","Casa","MATRIZ","david.smith@meuprovedor.com.br","DOIS VIZINHOS","85660000","SANTO ANTONIO","TRAVESSA SAMPAIO","568","CASA","-25.77056950690625","-53.05952926763248","10/03/2023","pppoe","","","48:5a:97:77:d8:ad","ftth","","","FTTH178R05U6","Santo Antônio","Santo Antônio Split 3","2"
"826","DAVID TRAVIS","","***309","***.***.209-93","PF","11/12/1956","DOIS VIZINHOS","85660000","RESIDENCIAL ARTHUR BARBOSA","47","CENTRO SUL","APTO","-25.760472816131568","-53.056661692200144","(99)99999-9174","david.travis@emailexemplo.com","23/05/2023","n","826","s","BOLETO PRÓPRIO","30/05/2023","","0","300","400","150","9","","s","manual","auto","","","","","","","","","","826","plano_100mb","","s","Casa","MATRIZ","david.travis@meuprovedor.com.br","DOIS VIZINHOS","85660000","CENTRO SUL","RESIDENCIAL ARTHUR BARBOSA","47","APTO","-25.75111517043673","-53.05658449580631","06/06/2023","pppoe","","","0e:11:47:fa:13:ba","ftth","","","FTTH619Q10X0","Centro Sul","Centro Sul Dv Split 2","8"
"48","DAVID WARD","","***515","***.***.955-78","PF","21/12/2003","PATO BRANCO","85501000","PATIO DE CAMARA","82","SAMBUGARO","CASA","-26.23044951693112","-52.68179483127088","(99)99999-9952","david.ward@emailexemplo.com","09/03/2023","n","48","s","BOLETO PRÓPRIO","15/03/2023","","0","189.9","700","299.9","19","","s","manual","auto","","","","","","","","","","48","plano_300mb","","s","Casa","MATRIZ","david.ward@meuprovedor.com.br","PATO BRANCO","85501000","SAMBUGARO","PATIO DE CAMARA","82","CASA","-26.230861829123143","-52.68342582184157","18/03/2023","pppoe","","","b2:22:f4:f0:6a:55","ftth","","","FTTH887E33X2","Sambugaro","Sambugaro Split 1","0"
"660","DAVID WEBB","","***069","***.***.368-06","PF","22/11/1998","DOIS VIZINHOS","85660000","FAVELA AGATHA BARBOSA","91","SANTA LUZIA","APTO","-25.763579795103144","-53.07687813415925","(99)99999-9340","david.webb@emailexemplo.com","18/01/2023","n","660","s","BOLETO PRÓPRIO","26/01/2023","","0","300","400","150","25","","s","manual","auto","","","","","","","","","","660","plano_100mb","","s","Casa","MATRIZ","david.webb@meuprovedor.com.br","DOIS VIZINHOS","85660000","SANTA LUZIA","FAVELA AGATHA BARBOSA","91","APTO","-25.755898227443726","-53.07411770395214","29/01/2023","pppoe","","","24:4e:eb:0e:c5:1f","ftth","","","FTTH494X07M6","Santa Luzia","Santa Luzia Split 2","5"
"677","DAVID WYATT","","***879","***.***.351-68","PF","21/01/1963","DOIS VIZINHOS","85660000","VIA CASTRO","9","DAS TORRES","APTO","-25.73798653080325","-53.05168447651865","(99)99999-9323","david.wyatt@emailexemplo.com","22/02/2023","n","677","s","BOLETO PRÓPRIO","26/02/2023","","0","300","400","150","7","","s","manual","auto","","","","","","","","","","677","plano_100mb","","s","Casa","MATRIZ","david.wyatt@meuprovedor.com.br","DOIS VIZINHOS","85660000","DAS TORRES","VIA CASTRO","9","APTO","-25.747267405786705","-53.05030294243463","05/03/2023","pppoe","","","d6:a8:6c:a7:4e:2e","ftth","","","FTTH800Q37Y0","Das Torres","Das Torres Split 2","2"
"21","DAWN JACKSON","","***813","***.***.982-40","PF","19/05/1984","DOIS VIZINHOS","85660000","LADEIRA PIMENTA","74","ALTO DA COLINA","CASA","-25.74416769879113","-53.05752294996139","(99)99999-9979","dawn.jackson@emailexemplo.com","12/01/2023","n","21","s","BOLETO PRÓPRIO","20/01/2023","","0","300","400","150","10","Cliente quer Wi-Fi potente em toda casa.","s","manual","auto","","","","","","","","","","21","plano_100mb","","s","Casa","MATRIZ","dawn.jackson@meuprovedor.com.br","DOIS VIZINHOS","85660000","ALTO DA COLINA","LADEIRA PIMENTA","74","CASA","-25.739107429504035","-53.06101211769264","25/01/2023","pppoe","","","da:45:23:59:d7:b7","ftth","","","FTTH396V64F7","Alto da Colina","Alto da Colina Split 1","0"
"434","DEBRA BUTLER","","***431","***.***.583-70","PF","27/02/1975","DOIS VIZINHOS","85660000","MORRO COSTELA","73","VITORIA","CASA","-25.75324830315076","-53.07246397367902","(99)99999-9566","debra.butler@emailexemplo.com","11/02/2023","n","434","s","BOLETO PRÓPRIO","11/02/2023","","0","300","400","150","9","","s","manual","auto","","","","","","","","","","434","plano_100mb","","s","Casa","MATRIZ","debra.butler@meuprovedor.com.br","PATO BRANCO","85660000","ALVORADA","PRAIA DE DA PAZ","8","APTO","-26.2716000907122","-52.68406685991685","18/02/2023","pppoe","","","b4:59:b6:f3:91:07","ftth","","","FTTH016A42D0","Alvorada","Alvorada Split 1","2"
"389","DENISE KRUEGER","","***911","***.***.627-26","PF","09/06/1970","DOIS VIZINHOS","85660000","TREVO JOAO MIGUEL DA MATA","26","DAS TORRES","APTO","-25.772064837820952","-53.089872197151166","(99)99999-9611","denise.krueger@emailexemplo.com","05/03/2023","n","389","s","BOLETO PRÓPRIO","10/03/2023","","8","300","400","150","18","Cliente precisa de velocidade constante, sem quedas.","n","manual","outro","","","","","","","","","","389","plano_100mb","","s","Casa","MATRIZ","denise.krueger@meuprovedor.com.br","FRANCISCO BELTRÃO","85660000","SAO FRANCISCO XAVIER","LADEIRA DE CAMPOS","22","CASA","-26.053009407944103","-53.04545498293879","12/03/2023","pppoe","","","c8:6d:73:3b:20:1e","radio","","","","","",""
"99","DEREK FROST","","***961","***.***.905-09","PF","21/04/1975","DOIS VIZINHOS","85660000","VEREDA DE DA CUNHA","496","ALTO DA COLINA","APTO","-25.759628649547867","-53.0336901422555","(99)99999-9901","derek.frost@emailexemplo.com","02/03/2023","n","99","s","BOLETO PRÓPRIO","12/03/2023","","17","300","400","150","19","Cliente espera um roteador moderno na instalação.","n","manual","manual","","","","","","","","","","99","plano_100mb","","s","Casa","MATRIZ","derek.frost@meuprovedor.com.br","PATO BRANCO","85660000","PARQUE DO SOM","TRECHO DE VIANA","68","CASA","-26.23529469661484","-52.65120287836466","16/03/2023","pppoe","","","68:0f:11:47:2f:d4","ftth","","","FTTH447E62F2","Parque do Som","Parque do Som Split 1","0"
"937","DEREK JONES","","***135","***.***.102-54","PF","13/04/1999","DOIS VIZINHOS","85660000","TREVO NUNES","60","SAO FRANCISCO DE ASSIS","APTO","-25.74062665095875","-53.06365205853484","(99)99999-9063","derek.jones@emailexemplo.com","19/03/2023","n","937","s","BOLETO PRÓPRIO","24/03/2023","","0","300","400","150","15","Cliente sugere avaliar a qualidade de vez em quando.","s","manual","auto","","","","","","","","","","937","plano_100mb","","s","Casa","MATRIZ","derek.jones@meuprovedor.com.br","DOIS VIZINHOS","85660000","SAO FRANCISCO DE ASSIS","TREVO NUNES","60","APTO","-25.740931159934416","-53.06603722210948","26/03/2023","pppoe","","","72:95:6c:b8:c1:b6","ftth","","","FTTH144X45U0","São Francisco de Assis","São Francisco de Assis Split 3","2"
