id,nome,Cidade,bairro,latitude,longitude,mac,tipo
"505","JAMES GILLESPIE","Pato Branco","VILA ISABEL","-26.217122641848203","-52.66195132763942","46:2a:2f:51:1f:9a","ftth"
"509","RACHEL LANE","Pato Branco","FRARON","-26.20341612748124","-52.69313976650122","a8:b6:57:63:12:cf","ftth"
"514","JENNIFER DUNN","Pato Branco","SAO ROQUE","-26.25759016209755","-52.69672633958329","9c:35:77:b9:e8:2e","ftth"
"521","NICHOLAS BLACK","Pato Branco","VILA ESPERANCA","-26.22628047472688","-52.69898637079965","98:91:45:a5:d9:a3","ftth"
"522","MICHELE RAMIREZ","Pato Branco","MENINO DEUS","-26.236092403277823","-52.68483097753485","1c:df:88:5c:bb:4f","ftth"
"523","DAVID CHASE","Pato Branco","JARDIM PRIMAVERA","-26.231231018628183","-52.688455245891376","62:6f:83:6f:bb:9e","ftth"
"525","KIMBERLY STEIN","Pato Branco","PARQUE DO SOM","-26.2337274119981","-52.648384382605606","14:de:e8:1f:44:e0","ftth"
"528","COLE PEREZ","Pato Branco","MORUMBI","-26.258633743159653","-52.67949580621711","34:86:09:5f:66:79","ftth"
"531","DEBORAH OBRIEN","Pato Branco","MORUMBI","-26.25977443686447","-52.68081172719048","b2:20:03:73:4e:e6","ftth"
"532","JAMES MARTINEZ","Pato Branco","SAO ROQUE","-26.258467110374102","-52.69179733640412","7a:a2:4d:11:28:29","ftth"
"533","LINDA HO","Pato Branco","CENTRO","-26.226529033835217","-52.66917077515858","e8:b4:4d:41:60:b7","ftth"
"539","DANIEL BROWN","Pato Branco","BANCARIOS","-26.223547977618622","-52.66303642736503","92:49:86:93:87:4e","ftth"
"543","FRANKLIN VASQUEZ","Pato Branco","ALTO DA GLORIA","-26.227623340446563","-52.71609544639044","b4:16:19:48:ad:e4","ftth"
"545","ELIZABETH STEWART","Pato Branco","AEROPORTO","-26.21584020433408","-52.69258643946837","5e:71:bd:64:85:0d","ftth"
"548","CARMEN WOOD","Pato Branco","CENTRO","-26.229847278367583","-52.67107991572138","46:80:0f:60:27:05","ftth"
"550","JANET MILLER","Pato Branco","PARQUE DO SOM","-26.2388339335707","-52.649014218243565","3e:6e:f5:7b:7d:90","ftth"
"560","REBECCA RUSSELL","Pato Branco","PINHEIRINHO","-26.247704909427245","-52.680650970641366","be:bf:87:1c:1d:d2","ftth"
"563","MICHELLE CRANE","Pato Branco","SAO JOAO","-26.22852641320856","-52.71446592615325","d2:d2:1d:bf:58:af","ftth"
"566","ANGELA HALL","Pato Branco","INDUSTRIAL","-26.236300048400484","-52.66191046184387","b4:3f:26:a5:1f:75","ftth"
"570","STEPHANIE JOHNSON","Pato Branco","TREVO DA GUARANY","-26.220175737199337","-52.6808282636672","30:9a:ea:2e:bd:c9","ftth"
"572","CHAD BROWN","Pato Branco","SAO CRISTOVAO","-26.2633803596145","-52.69486771118586","2c:e7:48:75:c0:e1","ftth"
"575","DANIEL CUNNINGHAM","Pato Branco","AEROPORTO","-26.21229869367756","-52.69095129955067","38:fd:27:a8:26:29","ftth"
"576","THOMAS ADKINS","Pato Branco","SAMBUGARO","-26.228493418922763","-52.68327318207773","70:14:20:2d:59:1c","ftth"
"578","DYLAN NOVAK","Pato Branco","SANTO ANTONIO","-26.260613680457563","-52.67768263946735","4a:f5:e2:1f:ad:45","ftth"
"586","NANCY FIELDS","Pato Branco","ALTO DA GLORIA","-26.234993475102605","-52.713925985517314","f6:6b:58:36:df:ac","ftth"
"590","JOSE MORAN","Pato Branco","MENINO DEUS","-26.23792061819508","-52.68675088374897","14:53:00:00:f6:ba","ftth"
"592","DAN COOPER","Pato Branco","BAIXADA","-26.23987419707162","-52.67614044186799","22:7e:c5:0d:27:29","ftth"
"593","JENNIFER BOYLE","Pato Branco","NOVO HORIZONTE","-26.25528918558349","-52.66829696014901","7c:c1:2b:c4:97:85","ftth"
"596","ROBERT MARTIN","Pato Branco","MORUMBI","-26.258753248463933","-52.68070290248208","06:c4:65:87:07:a4","ftth"
"597","REBECCA GRANT","Pato Branco","TREVO DA GUARANY","-26.220720458775084","-52.68092127746827","8c:0e:97:4b:15:4f","ftth"
"599","LISA STONE","Pato Branco","SAMBUGARO","-26.22538791055462","-52.682569905978994","ac:fb:e2:ba:29:14","ftth"
"600","JACOB ATKINSON","Pato Branco","CADORIN","-26.23028748450474","-52.65715399372136","58:73:c3:a2:89:c6","ftth"
"602","PATRICIA KOCH","Pato Branco","SAO FRANCISCO","-26.19504939241427","-52.66389933013116","0a:51:1d:33:b7:62","ftth"
"604","ANGELA VINCENT","Pato Branco","PINHEIROS","-26.21844245403594","-52.6590699356566","8e:44:53:48:9a:5f","ftth"
"605","JUSTIN HARDIN","Pato Branco","CENTRO","-26.229891241423868","-52.673453912195015","f8:3c:92:2d:f6:f0","ftth"
"606","JAMES TAYLOR","Pato Branco","SAMBUGARO","-26.225982293410897","-52.681390249903394","a8:fa:1c:ce:1d:e4","ftth"
"608","JAMES RHODES","Pato Branco","INDUSTRIAL","-26.23751476417268","-52.666413299810046","32:22:28:4a:f1:9e","ftth"
"611","MARY ALLEN","Pato Branco","PARZIANELLO","-26.221819975274173","-52.65619162949013","94:d8:5f:cf:9c:98","ftth"
"613","MICHAEL DAVIS","Pato Branco","SANTO ANTONIO","-26.25988071469962","-52.67430473161393","6a:b5:02:da:00:49","ftth"
"614","DERRICK POWELL","Pato Branco","JARDIM PRIMAVERA","-26.228958667563028","-52.68718456350276","2e:3b:fa:55:7c:6f","ftth"
"512","SAMUEL MURRAY","Francisco Beltrão","BAIRRO NOSSA SENHORA APARECIDA","-26.078896560426603","-53.05797522508936","d6:72:6a:99:64:3e","ftth"
"515","DEBRA JACKSON","Francisco Beltrão","BAIRRO PADRE ULRICO","-26.05290055515629","-53.0353714480204","6a:73:da:d6:69:ad","ftth"
"517","MICHAEL DOMINGUEZ MD","Francisco Beltrão","COMUNIDADE KM 23","-26.051895994254","-53.05508012688924","c4:c6:63:cd:e5:f4","ftth"
"524","PAMELA CHAN","Francisco Beltrão","BAIRRO CANGO","-26.06359952605642","-53.05282789795151","fc:f8:75:f7:09:20","ftth"
"530","KEITH JACKSON","Francisco Beltrão","BAIRRO MINIGUACU","-26.07305001306618","-53.03057235016209","46:d3:30:eb:04:f6","ftth"
"537","PATRICIA POOLE","Francisco Beltrão","BAIRRO VILA NOVA","-26.07248851193216","-53.03650744655791","b0:3c:5f:e7:8a:d8","ftth"
"538","ANDREW COLLINS","Francisco Beltrão","BAIRRO PADRE ULRICO","-26.05029511173501","-53.03914568693527","06:5a:fb:e7:16:88","ftth"
"547","CONNIE STEVENS","Francisco Beltrão","BAIRRO SAO FRANCISCO","-26.068538429298112","-53.07379801459582","e0:b7:39:2e:80:9e","ftth"
"558","SHIRLEY BARKER","Francisco Beltrão","BAIRRO NOVO MUNDO","-26.06714042994255","-53.08315936766217","10:c5:8a:42:2f:2c","ftth"
"559","SAMUEL AUSTIN","Francisco Beltrão","COMUNIDADE NOVA CONCORDIA","-26.09942400379531","-53.00617401264238","9a:8c:2c:ca:8d:8b","ftth"
"568","MARK ZIMMERMAN","Francisco Beltrão","BAIRRO PINHEIRINHO","-26.04161904476616","-53.06339478789936","b0:e4:88:61:14:79","ftth"
"569","JASON GUERRA","Francisco Beltrão","BAIRRO KENNEDY","-26.0655617167203","-53.044914578936606","c6:da:20:fa:22:d2","ftth"
"571","CASSANDRA HENDERSON","Francisco Beltrão","COMUNIDADE LINHA EVA E LINHA MACAGNAN","-26.057919548914104","-53.104994124323056","d8:50:ab:c9:86:8b","ftth"
"573","CODY GIBSON","Francisco Beltrão","COMUNIDADE LINHA SANTA ROSA – KM 08","-26.076354354803115","-53.10909926784284","1c:af:f4:60:84:84","ftth"
"577","JUAN ANDREWS","Francisco Beltrão","BAIRRO MINIGUACU","-26.07170588349497","-53.03388490331128","00:10:ef:b8:88:00","ftth"
"589","JOSEPH HERNANDEZ","Francisco Beltrão","BAIRRO INDUSTRIAL","-26.084154915669124","-53.03890355437264","c8:ae:58:d8:2e:f3","ftth"
"595","JENNIFER SCOTT","Francisco Beltrão","BAIRRO NOVO MUNDO","-26.0577400321797","-53.081352271202256","82:ea:f2:de:ae:e9","ftth"
"603","HEATHER ARMSTRONG","Francisco Beltrão","BAIRRO JARDIM SEMINARIO","-26.07606374513886","-53.02585178055876","88:f6:6e:25:f4:4a","ftth"
"623","DESTINY GARCIA","Francisco Beltrão","COMUNIDADE KM 23","-26.048671623261967","-53.05318298199441","7a:61:92:35:85:66","ftth"
"629","AMY THOMPSON","Francisco Beltrão","BAIRRO SAO MIGUEL","-26.077706031248283","-53.0833989168483","4e:d4:bd:f9:5d:85","ftth"
"632","CALVIN WILSON","Francisco Beltrão","COMUNIDADE NOVA CONCORDIA","-26.097454538814706","-53.008578473257685","4a:40:06:19:8f:ba","ftth"
"636","MADISON HAMPTON","Francisco Beltrão","BAIRRO JARDIM VIRGINIA","-26.05271903780146","-53.0639407449458","e2:97:6c:89:6a:3f","ftth"
"638","MARY CAMPBELL","Francisco Beltrão","BAIRRO MINIGUACU","-26.07152313357609","-53.03500631401517","02:db:16:60:27:a0","ftth"
"639","KEVIN ALLEN","Francisco Beltrão","BAIRRO CANTELMO","-26.05272117875684","-53.07797122813969","e0:53:23:2e:c9:11","ftth"
"646","OMAR MEYERS","Francisco Beltrão","COMUNIDADE NOVA CONCORDIA","-26.09881113934999","-53.00589429197424","ea:69:dc:48:ab:b0","ftth"
"647","LAUREN JONES","Francisco Beltrão","BAIRRO NOVO MUNDO","-26.06336047047845","-53.07703643944101","a4:9c:91:2f:13:fa","ftth"
"649","SCOTT MCINTYRE","Francisco Beltrão","BAIRRO SADIA","-26.02802525993304","-53.05391616754154","f0:f1:29:2c:e9:11","ftth"
"652","KATHY JOHNSON","Francisco Beltrão","COMUNIDADE VOLTA GRANDE","-26.007504672483755","-53.0503624914783","4e:dd:a6:e7:01:ff","ftth"
"657","CHRISTOPHER BUTLER","Francisco Beltrão","BAIRRO JARDIM FLORESTA E ITALIA","-26.05255076190964","-53.04875762416194","0a:a8:2b:96:70:68","ftth"
"658","TRAVIS KIRBY","Francisco Beltrão","BAIRRO PINHEIRAO","-26.092855880751312","-53.06927523960346","3c:ee:c8:17:ff:72","ftth"
