id,nome,Cidade,cep,bairro,latitude,longitude,mac,tipo
2,CATHY YOUNG,Pato Branco,85601000,São Luiz,-26.10672864347774,-53.04844589250628,7e:ce:41:0b:d7:5a,radio
3,JONATHAN MEYERS,Dois Vizinhos,85601000,Da Luz,-26.06495092402133,-53.101205954753006,d8:ee:56:11:32:9c,radio
16,JOHN BROWN,Dois Vizinhos,85601000,Sagrada Família,-26.08053485517332,-53.00027861055733,40:95:bc:a8:c0:56,radio
24,CHERYL CONRAD,Francisco Beltrão,85660000,VITORIA,-26.03926925775486,-53.04661474681663,32:09:c4:a3:12:0a,radio
31,BETH GONZALEZ,Francisco Beltrão,85601000,COMUNIDADE RIO GUARAPUAVA,-26.10664604908549,-53.06624885257054,fc:4e:95:59:92:36,radio
32,SAMANTHA SANDOVAL,Francisco Beltrão,85660000,JARDIM MARCANTE,-26.050759406129384,-53.066082062371954,52:3b:ef:21:34:57,radio
49,LISA SIMS,Dois Vizinhos,85660000,Santo Antônio,-26.05985255593487,-53.0526268473453,ea:7f:5a:9d:5e:87,radio
60,MICHAEL MOLINA,Dois Vizinhos,85660000,Alto da Colina,-26.04725046662868,-53.04831007838168,14:a9:4f:77:f1:65,radio
62,ALISON HAYS,Francisco Beltrão,85601000,BAIRRO AGUA BRANCA,-26.11337689824144,-53.04809971749528,8c:8a:18:f7:11:08,radio
74,SEAN POWELL,Francisco Beltrão,85660000,SANTO ANTONIO,-26.04201532205494,-53.03596939790677,52:3b:ef:21:34:57,radio
77,THOMAS FRYE,Francisco Beltrão,85601000,COMUNIDADE SAO FRANCISCO DE ASSIS,-26.03850335608576,-53.09045266802504,0c:94:1d:cc:e7:a3,radio
84,MARTHA ERICKSON,Francisco Beltrão,85601000,COMUNIDADE VILA LOBOS,-26.03293462748188,-52.9735570336867,3a:1b:28:2e:82:eb,radio
96,TIFFANY TURNER,Pato Branco,85660000,Bonatto,-26.087210562592325,-53.03874235577923,e4:c5:4b:e2:ee:b7,radio
