id,nome,Cidade,cep,bairro,latitude,longitude,mac,tipo
2,CATHY YOUNG,Pato Branco,85501000,Centro,-26.10672864347774,-53.04844589250628,b4:b5:4b:94:69:99,radio
3,JONATHAN MEYERS,Dois Vizinhos,85660000,Sagrada Família,-26.06495092402133,-53.101205954753006,1a:1d:3b:cc:9b:4c,radio
16,JOHN BROWN,Francisco Beltrão,85601000,Bairro Centro,-26.08053485517332,-53.00027861055733,32:09:c4:a3:12:0a,radio
24,CHERYL CONRAD,Pato Branco,85501000,Alvorada,-26.03926925775486,-53.04661474681663,c2:29:c8:9e:f6:8c,radio
31,BETH GONZALEZ,Pato Branco,85501000,Alvorada,-26.10664604908549,-53.06624885257054,bc:25:ca:38:68:1f,radio
32,SAMANTHA SANDOVAL,Pato Branco,85501000,São João,-26.050759406129384,-53.066082062371954,38:92:f8:c4:34:40,radio
49,LISA SIMS,Dois Vizinhos,85660000,Das Torres,-26.05985255593487,-53.0526268473453,1e:00:24:9f:10:54,radio
60,MICHAEL MOLINA,Pato Branco,85501000,São João,-26.04725046662868,-53.04831007838168,dc:9e:eb:fc:95:07,radio
62,ALISON HAYS,Francisco Beltrão,85601000,Bairro Sadia,-26.11337689824144,-53.04809971749528,e8:a8:bf:4a:04:07,radio
74,SEAN POWELL,Francisco Beltrão,85601000,Bairro Centro,-26.04201532205494,-53.03596939790677,3a:1b:28:2e:82:eb,radio
77,THOMAS FRYE,Dois Vizinhos,85660000,Das Torres,-26.03850335608576,-53.09045266802504,2e:4f:c5:92:76:35,radio
84,MARTHA ERICKSON,Pato Branco,85501000,Centro,-26.03293462748188,-52.9735570336867,b0:3b:8c:fd:71:06,radio
96,TIFFANY TURNER,Francisco Beltrão,85601000,Bairro Sadia,-26.087210562592325,-53.03874235577923,ba:a4:ff:a0:65:13,radio
98,MICHELE WRIGHT,Dois Vizinhos,85660000,Das Torres,-26.196188018752053,-52.6751198369168,de:8a:9e:95:d9:18,radio
